1;3723.00;12.80;1624.00;big
1;3812.00;9.90;1618.00;big
2;3827.00;9.90;1833.00;big
2;3840.00;10.50;1748.00;big
3;4117.00;10.35;1868.00;big
3;4119.00;12.73;1972.00;big
4;3841.00;10.50;1946.00;big
4;3971.00;10.50;1939.00;big
5;4221.00;10.57;2066.00;big
5;4142.00;10.00;2034.00;big
6;4279.00;10.50;1993.00;big
6;4413.00;10.10;1933.00;big
7;4504.00;9.50;2064.00;big
7;4502.00;9.90;2161.00;big
8;4339.00;9.90;2098.00;big
8;4407.00;9.90;2097.00;big
9;4330.00;9.90;2206.00;big
9;4407.00;9.90;2213.00;big
10;4373.00;9.90;2377.00;big
10;4359.00;9.90;2425.00;big
11;3936.00;11.57;1780.00;big
11;4010.00;18.00;1808.00;big
12;4050.00;9.90;1718.00;big
12;3946.00;10.50;1706.00;big
13;4322.00;11.03;1769.00;big
13;4190.00;10.53;1762.00;big
14;4231.00;10.50;1640.00;big
14;4134.00;11.70;1646.00;big
15;4206.00;9.90;1474.00;big
15;4103.00;9.50;1510.00;big
16;4215.00;9.90;1345.00;big
16;4303.00;9.90;1330.00;big
17;4321.00;9.90;1486.00;big
17;4463.00;9.90;1442.00;big
18;3936.00;9.90;1314.00;big
18;4112.00;9.90;1313.00;big
19;4018.00;9.90;1384.00;big
19;4072.00;9.90;1380.00;big
20;3799.00;9.90;1372.00;big
20;3864.00;9.90;1377.00;big
21;4285.00;9.90;1231.00;big
21;4196.00;9.90;1225.00;big
22;4049.00;9.90;1219.00;big
22;4111.00;9.90;1223.00;big
23;3948.00;9.90;1204.00;big
23;4068.00;9.90;1166.00;big
24;4063.00;9.90;1123.00;big
24;4174.00;9.90;1125.00;big
25;4246.00;9.90;1024.00;big
25;4162.00;9.90;1030.00;big
26;4033.00;9.90;1017.00;big
26;3930.00;9.90;1005.00;big
27;3915.00;9.90;1072.00;big
27;3857.00;9.90;1082.00;big
28;3821.00;9.90;969.00;big
28;3809.00;9.90;895.00;big
29;3947.00;9.90;919.00;big
29;4051.00;9.90;935.00;big
30;3931.00;9.90;823.00;big
30;3996.00;9.90;768.00;big
31;4083.00;9.90;825.00;big
31;4096.00;9.90;791.00;big
32;3922.00;9.90;622.00;big
32;3926.00;9.90;689.00;big
33;4140.00;9.90;881.00;big
33;4132.00;9.90;921.00;big
34;4206.00;9.90;941.00;big
34;4309.00;9.90;951.00;big
35;4229.00;9.90;867.00;big
35;4236.00;9.90;793.00;big
41;4487.00;9.90;483.00;big
41;4526.00;9.90;452.00;big
46;4560.00;9.90;319.00;big
46;4561.00;9.90;291.00;big
47;4347.00;9.60;109.00;big
47;4307.00;9.90;140.00;big
48;4396.00;9.90;186.00;big
48;4458.00;9.90;136.00;big
49;4272.00;9.90;203.00;big
49;4327.00;9.90;251.00;big
