1;bunker;3799.00;9.88;1621.00;4.33;0
1;bunker;3790.00;9.90;1625.00;0.71;0
1;bunker;3799.00;9.88;1612.00;4.84;0
1;bunker;3783.00;9.50;1620.00;1.83;0
2;air_base;3781.00;11.80;1676.00;1.16;0
2;naval_base;3760.00;9.50;1669.00;-1.25;270
2;naval_base;3750.00;9.50;1680.00;-1.33;270
2;naval_base;3752.00;9.50;1691.00;-1.95;270
2;bunker;3784.00;12.13;1679.00;1.67;0
2;bunker;3777.00;11.80;1689.00;2.78;0
2;bunker;3793.00;11.48;1688.00;5.44;0
2;bunker;3776.00;12.35;1675.00;2.17;0
2;bunker;3763.00;12.15;1696.00;1.23;0
2;bunker;3766.00;11.50;1675.00;0.62;0
2;coastal_bunker;3758.00;9.50;1699.00;-1.95;0
2;coastal_bunker;3757.00;9.50;1672.00;-1.25;0
2;coastal_bunker;3751.00;9.50;1679.00;-1.33;0
2;dockyard;3752.00;9.50;1689.00;-1.95;0
2;anti_air_building;3764.00;11.50;1692.00;5.96;0
2;anti_air_building;3776.00;12.35;1674.00;2.34;0
2;anti_air_building;3789.00;11.50;1687.00;0.18;0
2;radar_station;3773.00;11.73;1681.00;3.22;0
2;nuclear_reactor;3787.00;12.10;1674.00;4.40;0
2;synthetic_refinery;3773.00;11.60;1672.00;0.79;0
3;arms_factory;3851.00;12.32;1640.00;0.04;0
3;arms_factory;3857.00;13.40;1614.00;1.60;0
3;arms_factory;3841.00;10.50;1641.00;5.72;0
3;arms_factory;3841.00;10.50;1641.00;0.65;0
3;arms_factory;3832.00;12.32;1633.00;4.77;0
3;arms_factory;3846.00;12.50;1618.00;0.04;0
3;industrial_complex;3847.00;12.48;1618.00;4.17;0
3;industrial_complex;3839.00;10.50;1646.00;5.37;0
3;industrial_complex;3839.00;10.50;1646.00;3.21;0
3;industrial_complex;3862.00;13.40;1627.00;6.23;0
3;industrial_complex;3844.00;10.50;1644.00;1.16;0
3;industrial_complex;3835.00;9.98;1619.00;5.28;0
3;air_base;3849.00;10.50;1634.00;0.55;0
3;naval_base;3864.00;12.20;1629.00;-4.17;1321
3;naval_base;3874.00;10.15;1611.00;1.57;1321
3;naval_base;3862.00;9.82;1636.00;1.57;1321
3;bunker;3848.00;11.48;1642.00;1.67;0
3;bunker;3855.00;12.25;1639.00;0.71;0
3;bunker;3843.00;10.50;1633.00;3.73;0
3;bunker;3872.00;12.60;1609.00;2.17;0
3;bunker;3833.00;10.50;1649.00;4.84;0
3;bunker;3862.00;13.40;1627.00;1.23;0
3;bunker;3866.00;13.32;1610.00;2.78;0
3;bunker;3841.00;10.50;1627.00;0.62;0
3;coastal_bunker;3876.00;9.50;1612.00;1.57;0
3;coastal_bunker;3869.00;9.57;1628.00;-4.17;0
3;coastal_bunker;3863.00;10.43;1632.00;1.57;0
3;dockyard;3869.00;11.20;1624.00;-4.17;0
3;anti_air_building;3839.00;10.50;1623.00;1.73;0
3;anti_air_building;3859.00;13.40;1613.00;4.40;0
3;anti_air_building;3859.00;13.40;1613.00;5.96;0
3;radar_station;3850.00;10.53;1634.00;3.98;0
3;nuclear_reactor;3833.00;12.32;1632.00;0.18;0
3;synthetic_refinery;3833.00;12.32;1632.00;1.39;0
4;air_base;3733.00;10.88;1643.00;5.88;0
4;naval_base;3765.00;9.75;1644.00;-3.46;270
4;naval_base;3749.00;9.75;1651.00;-3.61;270
4;bunker;3742.00;10.50;1645.00;3.73;0
4;bunker;3737.00;10.28;1652.00;0.11;0
4;bunker;3755.00;10.50;1641.00;2.17;0
4;bunker;3755.00;10.50;1636.00;4.84;0
4;coastal_bunker;3757.00;10.03;1645.00;-3.46;0
4;coastal_bunker;3747.00;9.75;1652.00;-3.61;0
4;dockyard;3740.00;9.70;1654.00;-3.61;0
4;radar_station;3747.00;10.50;1636.00;0.33;0
4;nuclear_reactor;3748.00;10.50;1635.00;1.73;0
4;synthetic_refinery;3750.00;10.50;1642.00;4.40;0
5;arms_factory;3619.00;9.90;1360.00;4.77;0
5;arms_factory;3611.00;9.90;1395.00;0.04;0
5;arms_factory;3585.00;9.90;1368.00;4.17;0
5;arms_factory;3612.00;9.90;1396.00;5.37;0
5;arms_factory;3607.00;9.70;1362.00;3.21;0
5;arms_factory;3600.00;9.90;1380.00;6.23;0
5;industrial_complex;3602.00;9.88;1364.00;1.16;0
5;industrial_complex;3601.00;9.90;1381.00;5.28;0
5;industrial_complex;3586.00;9.90;1368.00;0.55;0
5;industrial_complex;3602.00;9.90;1382.00;3.22;0
5;industrial_complex;3602.00;9.82;1363.00;5.88;0
